Pos,No.,Player 1,twitter_1,No,Player 2,twitter_2,No.1,Player 3,twitter_3,No.2,Player 4,twitter_4,No.3,Player 5,twitter_5
KO,41.0,"Rogers, Collin JR",,97.0,"Lozano, Gabriel GR/TR",,,,,,,,,,
LS,48.0,"Benton IV, Will GR",,56.0,"O'Quinn, Brock RS FR/TR",,,,,,,,,,
H,49.0,"Pearson, Isaac GR/TR",,96.0,"Waller, Jackson FR",,,,,,,,,,
PR,13.0,"Daniels Jr., Roderick SR",,12.0,"Bailey, Jake GR/TR",,,,,,,,,,
KR,1.0,"Smith, Brashard SR/TR",,9.0,"Smith, Key'Shawn SR/TR",,,,,,,,,,
Reserves,,,,,,,,,,,,,,,
RES,,,,,,,,,,,,,,,
INJ,0.0,"Wheaton, Camar RS JR/TR",,74.0,"Chamblee, Andrew RS SO/TR",,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Stanford Cardinal,,,,,,,,,,,,,,,
WR-X,13.0,"Ayomanor, Elic RS SO",,82.0,"Raines, Jayson RS JR",,83.0,"Harris, Jackson RS FR",,,,,,,
WR-Z,10.0,"Mosley V, Emmett FR",,0.0,"Reuben, Mudia JR",,84.0,"Cisse, Ismael RS FR",,,,,,,
WR-SL,24.0,"Bachmeier, Tiger SO",,3.0,"Farrell, Bryce GR",,40.0,"Thompson, Jason JR",,,,,,,
LT,78.0,"Baklenko, Luke SO",,76.0,"Leyrer, Jack RS JR",,,,,,,,,,
LG,61.0,"Mayberry, Trevor SR/TR",,69.0,"Maikkula, Jake RS SO",,,,,,,,,,
C,57.0,"Rogers, Levi RS SR",,,,,,,,,,,,,
RG,55.0,"Pale, Simione SO",,72.0,"Uke, Austin RS JR",,,,,,,,,,
RT,71.0,"McLaughlin, Connor RS SR",,67.0,"Anderson, Fisher RS SO",,,,,,,,,,
TE,86.0,"Roush, Sam JR",,85.0,"Taylor, Shield RS JR",,41.0,"Waiss, Griffin RS JR/TR",,89.0,"Ungar, Lukas RS SR",,46.0,"Holt, Chico RS FR/TR",
QB,14.0,"Daniels, Ashton JR",,8.0,"Lamson, Justin RS JR/TR",,2.0,"Brown, Elijah FR",,9.0,"Jackson, Myles RS FR",,17.0,"Mirer, Charlie RS SO",
RB,26.0,"Irvin, Sedrick SO",,15.0,"Butler, Ryan JR/TR",,34.0,"Hampton, Champ RS FR",,36.0,"Washington, Kenaj RS SO",,,,
DEF,,,,,,,,,,,,,,,
LOLB,23.0,"Bailey, David JR",,14.0,"Aybar, Wilfredo RS JR",,,,,,,,,,
NT,91.0,"Patterson, Clay GR/TR",,40.0,"Phillips, Tobin GR",,97.0,"Rowell, Zach RS SO",,,,,,,
DT,94.0,"Franklin, Anthony RS JR",,98.0,"Buckey, Zach RS JR",,,,,,,,,,
ROLB,11.0,"Tafiti, Tevarua RS SO",,44.0,"Cooper, Ernest RS SO",,,,,,,,,,
MLB,8.0,"Sinclair, Tristan GR",,43.0,"Galvan, Jahsiah RS SO/TR",,30.0,"Dubre, Ese RS JR",,,,,,,
WLB,0.0,"Bernadel, Gaethan SR/TR",,35.0,"Rose, Matt RS SO",,,,,,,,,,
LCB,6.0,"Wright, Collin RS SO",,31.0,"Morris, Aaron SO",,,,,,,,,,
SS,32.0,"Leigber, Mitch RS JR",,22.0,"Ojarikre, Ché RS FR",,,,,,,,,,
FS,21.0,"Edwards, Scotty RS SO",,5.0,"Green, Jay JR/TR",,,,,,,,,,
RCB,4.0,"Manley, Zahran GR",,28.0,"Richardson, Cam FR",,,,,,,,,,
NB,17.0,"Frausto-Ramos, Jshawn SO",,27.0,"Porter, Omari GR",,,,,,,,,,
ST,,,,,,,,,,,,,,,
PT,37.0,"Flintoft, Aidan SO",,15.0,"Weselman, Connor RS JR",,,,,,,,,,
PK,13.0,"Kenney, Emmet RS JR",,92.0,"Seidler, AJ FR",,,,,,,,,,
KO,13.0,"Kenney, Emmet RS JR",,92.0,"Seidler, AJ FR",,,,,,,,,,
LS,93.0,"Warford, Peyton JR/TR",,47.0,"Chavez, Alejandro RS SO",,,,,,,,,,
H,15.0,"Weselman, Connor RS JR",,37.0,"Flintoft, Aidan SO",,,,,,,,,,
PR,3.0,"Farrell, Bryce GR",,,,,,,,,,,,,
KR,3.0,"Farrell, Bryce GR",,40.0,"Thompson, Jason JR",,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Syracuse Orange,,,,,,,,,,,,,,,
WR-X,12.0,"Ross-Simmons, Justus JR/TR",,7.0,"Meeks, Jackson SR/TR",,82.0,"Gill Jr., Darrell SO",,,,,,,
WR-Z,8.0,"Haynes, Zeed RS FR/TR",,5.0,"Hatcher, Umari RS JR",,18.0,"Ross, Emanuel FR",,,,,,,
WR-SL,2.0,"Pena, Trebor RS JR",,80.0,"Thomas, Ja'Meer FR",,,,,,,,,,
LT,57.0,"Weatherspoon, Da'Metrius RS JR/TR",,73.0,"Miller, Joshua RS FR/TR",,,,,,,,,,
LG,74.0,"Bradford, Jakob RS SR/TR",,78.0,"Cruz, Joe RS SO",,71.0,"Moeolo, Lysander RS JR/TR",,,,,,,
C,50.0,"Reed, J'Onre SR/TR",,55.0,"Ilaoa, Josh SR",,54.0,"Hornsby, Codie RS JR/TR",,,,,,,
RG,72.0,"Petry, Mark RS SR/TR",,70.0,"Cruz Jr., Enrique RS JR",,,,,,,,,,
RT,77.0,"Washington, Savion RS JR/TR",,79.0,"Wohlabaugh Jr., David RS JR/TR",,75.0,"Mack, Trevion RS FR",,,,,,,
TE,19.0,"Gadsden II, Oronde RS JR",,89.0,"Villari, Dan RS JR/TR",,86.0,"Clement, David SO",,0.0,"Mang, Maximilian SR",,,,
QB,6.0,"McCord, Kyle SR/TR",,9.0,"Johnson Jr., Michael RS SR/TR",,16.0,"Del Rio-Wilson, Carlos RS JR/TR",,4.0,"Williams, Jakhari FR",,,,
RB,1.0,"Allen, LeQuint JR",,23.0,"Willis, Yasin FR",,24.0,"Nixon, Will RS JR/TR",,36.0,"James, Malachi FR",,,,
DEF,,,,,,,,,,,,,,,
LDE,10.0,"Diggs, Fadil SR/TR",,30.0,"Simmons, Chase RS JR",,,,,,,,,,
LDT,4.0,"Wilson Jr., Dion RS SR/TR",,99.0,"Fuentes-Cundiff, Elijah RS JR",,52.0,"Ingraham, Braylen RS SR/TR",,,,,,,
RDT,94.0,"Jobity Jr., Kevin JR",,88.0,"Watson, Maraad FR",,92.0,"Perry, Rashard SO",,,,,,,
RDE,11.0,"Jaquez Jr., Denis JR",,18.0,"Omopariola, David RS FR",,9.0,"Hastings, Isaiah RS SO/TR",,,,,,,
WLB,15.0,"McDonald, Derek RS JR",,6.0,"Heard, James RS FR/TR",,,,,,,,,,
MLB,2.0,"Wax, Marlowe SR",,22.0,"Moultrie-Goddard, Zyian RS FR",,12.0,"Sparrow, Anwar RS JR",,,,,,,
FCB,23.0,"Grant, Devin JR/TR",,7.0,"Barnes Jr., Marcellus FR",,31.0,"Washington Jr., Marcus RS SO/TR",,,,,,,
FS,0.0,"Chestnut, Duce RS JR/TR",,29.0,"Buxton III, Berry RS JR/TR",,19.0,"Perry, Cornell RS SO",,,,,,,
BS,5.0,"Clark, Alijah SR/TR",,17.0,"Martin, Jalil RS SO/TR",,26.0,"Long Jr., Braheem FR",,,,,,,
BCB,3.0,"Lewis, Clarence SR/TR",,1.0,"Bellamy, Jayden RS SO/TR",,32.0,"Delaine, Greg RS SO",,,,,,,
STAR,8.0,"Barron, Justin SR",,21.0,"Gould, Jaeden RS SO/TR",,,,,,,,,,
ST,,,,,,,,,,,,,,,
PT,41.0,"Stonehouse, Jack RS JR/TR",,15.0,"Denaburg, Brady JR",,,,,,,,,,
PK,15.0,"Denaburg, Brady JR",,98.0,"Oh, Jadyn RS FR",,96.0,"Kennedy, Jackson RS JR/TR",,,,,,,
KO,15.0,"Denaburg, Brady JR",,98.0,"Oh, Jadyn RS FR",,96.0,"Kennedy, Jackson RS JR/TR",,,,,,,
LS,46.0,"Callahan, Tom RS SR/TR",,61.0,"Stangle, Ethan RS SO",,90.0,"Zuhr, Jacob RS JR/TR",,,,,,,
H,41.0,"Stonehouse, Jack RS JR/TR",,10.0,"Davis, Braden RS SO/TR",,,,,,,,,,
PR,2.0,"Pena, Trebor RS JR",,36.0,"James, Malachi FR",,,,,,,,,,
KR,2.0,"Pena, Trebor RS JR",,36.0,"James, Malachi FR",,82.0,"Gill Jr., Darrell SO",,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Virginia Cavaliers,,,,,,,,,,,,,,,
WR-X,8.0,"Fields, Malachi RS JR",,2.0,"Greene Jr., Andre JR/TR",,9.0,"Gibson, Jaden SO",,,,,,,
WR-Z,6.0,"Wilson, JR JR",,11.0,"Harris, Trell JR/TR",,83.0,"Twitty, Dakota RS SO",,,,,,,
WR-SL,4.0,"Tyree, Chris GR/TR",,1.0,"Harrison, Suderian SO",,26.0,"Davies, Ethan RS JR",,,,,,,
LT,52.0,"Boley, McKale JR",,75.0,"Curry, Houston RS SO",,68.0,"Witmer, Jack RS JR",,,,,,,
LG,77.0,"Josey, Noah RS JR",,71.0,"Nnanna, Ugonna SR/TR",,,,,,,,,,
C,55.0,"Stevens, Brian GR/TR",,74.0,"Sipe, Ethan RS SR/TR",,53.0,"Alters, Dawson RS SO",,,,,,,
RG,51.0,"Furnish, Ty RS JR",,60.0,"Patterson, Charlie RS JR",,,,,,,,,,
RT,54.0,"Steen, Blake RS SO",,50.0,"Christ, Jimmy GR/TR",,,,,,,,,,
TE,44.0,"Wood Jr., Sackett GR",,16.0,"Neville, Tyler GR/TR",,0.0,"Ennis, Sage GR/TR",,88.0,"Gay, Karson RS SO",,,,
QB,7.0,"Muskett, Tony GR/TR",,10.0,"Colandrea, Anthony SO",,13.0,"Frakes, Gavin JR/TR",,,,,,,
RB,5.0,"Pace, Kobe SR/TR",,20.0,"Brown, Xavier RS SO",,28.0,"Vaughn, Noah RS FR",,34.0,"Griese, Jack RS SO",,,,
DEF,,,,,,,,,,,,,,,
DE,82.0,"Butler, Kam GR/TR",,10.0,"Smiley III, Ben RS SR",,,,,,,,,,
NT,90.0,"Carter, Jahmeer GR",,91.0,"Hammond, Jason SO",,55.0,"Britton, Anthony RS FR",,,,,,,
DT,96.0,"Carter, Bryce RS JR",,18.0,"Diatta, Michael RS JR",,,,,,,,,,
BAN,15.0,"Bennett Jr., Chico GR/TR",,25.0,"Jones, Terrell RS SO",,11.0,"Buchanan, Mekhi SO",,,,,,,
MLB,5.0,"Robinson, Kam SO",,44.0,"Jones, Dorian RS SR/TR",,,,,,,,,,
WLB,7.0,"Jackson, James SR",,16.0,"McDonald, Trey RS SO",,,,,,,,,,
LCB,6.0,"Walker, Dre SO",,4.0,"Smith, Kendren GR/TR",,30.0,"Minter, Ethan FR",,,,,,,
SS,0.0,"Clary, Antonio RS SR",,29.0,"Shine, Kempton GR/TR",,17.0,"Ryan, Aidan RS JR",,,,,,,
FS,20.0,"Sanker, Jonas SR",,26.0,"Hardy, Caleb SO",,,,,,,,,,
RCB,8.0,"Greene, Malcolm GR/TR",,22.0,"Gaines, Elijah GR",,21.0,"Adams, Keke FR",,,,,,,
SPUR,3.0,"Thomas Jr., Corey GR/TR",,9.0,"Jackson, Jam JR/TR",,31.0,"Gaffney, Micah RS JR",,,,,,,
ST,,,,,,,,,,,,,,,
PT,38.0,"Sparks, Daniel SR/TR",,99.0,"Slibeck, Elijah RS FR",,,,,,,,,,
PK,41.0,"Bettridge, Will JR",,47.0,"Bruot, Vadin RS SO",,,,,,,,,,
KO,38.0,"Sparks, Daniel SR/TR",,47.0,"Bruot, Vadin RS SO",,,,,,,,,,
LS,81.0,"Bunch, Payton RS SR/TR",,32.0,"Byrne, Luke RS JR",,,,,,,,,,
H,38.0,"Sparks, Daniel SR/TR",,99.0,"Slibeck, Elijah RS FR",,,,,,,,,,
PR,26.0,"Davies, Ethan RS JR",,1.0,"Harrison, Suderian SO",,,,,,,,,,
KR,4.0,"Tyree, Chris GR/TR",,5.0,"Pace, Kobe SR/TR",,,,,,,,,,
Reserves,,,,,,,,,,,,,,,
RES,,,,,,,,,,,,,,,
INJ,62.0,"Metcalf, Drake GR/TR",,58.0,"Hartsoe, Noah RS SO",,2.0,"Bracey, Stevie JR",,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Virginia Tech Hokies,,,,,,,,,,,,,,,
WR-X,9.0,"Felton, Da'Quan GR/TR",,12.0,"Gosnell, Stephen GR/TR",,11.0,"Holloway, Tucker JR",,,,,,,
WR-Z,0.0,"Jennings, Ali GR/TR",,26.0,"Greene, Ayden SO",,,,,,,,,,
WR-Y,83.0,"Lane, Jaylin GR/TR",,5.0,"Turner-Bradshaw, Xayvion RS SO",,2.0,"Heath, Takye RS FR",,,,,,,
LT,65.0,"Chaplin, Xavier RS SO",,56.0,"Ghannam, Layth RS FR",,67.0,"Hammer, Hannes RS FR",,,,,,,
LG,61.0,"Moore, Braelin RS SO",,77.0,"Meadows, Brody RS SO",,64.0,"Williams, Lance RS FR",,,,,,,
C,68.0,"Moore, Kaden RS SR",,,,,,,,,,,,,
RG,66.0,"Cunningham, Montavious RS JR/TR",,75.0,"Schick, Bob RS SR/TR",,,,,,,,,,
RT,70.0,"Clements, Parker RS SR",,79.0,"Garrett, Johnny RS SO",,63.0,"Duggan, Griffin RS JR",,,,,,,
TE,86.0,"Gallo, Nick GR",,82.0,"Gosnell, Benji RS SO",,87.0,"Saint Germain, Harrison RS SO",,,,,,,
QB,1.0,"Drones, Kyron RS JR/TR",,18.0,"Watson III, William RS FR",,,,,,,,,,
RB,33.0,"Tuten, Bhayshul SR/TR",,24.0,"Thomas, Malachi RS JR",,21.0,"Coney, Jeremiah RS FR",,,,,,,
DEF,,,,,,,,,,,,,,,
LDE,52.0,"Powell-Ryland, Antwaun RS SR/TR",,56.0,"McCray, C.J. RS SR/TR",,39.0,"McDonald, Jorden RS JR",,,,,,,
LDT,16.0,"Peebles, Aeneas GR/TR",,13.0,"Copeland, Kemari JR/TR",,91.0,"Pene, Wilfried RS SR",,,,,,,
RDT,22.0,"Gilliam Jr., Kelvin RS JR/TR",,90.0,"Hanchuk, Andrew FR",,6.0,"Fuga, Josh GR",,,,,,,
RDE,17.0,"Nelson, Cole SR",,2.0,"Burgos, Keyshawn JR",,55.0,"Johnson, Gerard FR",,,,,,,
WLB,0.0,"Lawson, Keli RS JR",,38.0,"McDonald, Jayden RS JR",,42.0,"Stevens, Aycen RS FR",,,,,,,
MLB,3.0,"Brumfield, Sam RS SR/TR",,24.0,"Keller, Jaden RS JR",,53.0,"Johnson, Will RS JR",,,,,,,
STAR,7.0,"Jenkins, Keonta SR",,20.0,"Woodson, Caleb SO",,12.0,"Williams, Gabe FR",,,,,,,
LCB,4.0,"Delane, Mansoor JR",,1.0,"Lovett, Dante SO",,5.0,"Clarke, Joshua FR",,,,,,,
SS,26.0,"Stroman, Jalen SR",,15.0,"Jones, Jaylen SR",,27.0,"Childress, Tyler RS JR",,,,,,,
FS,18.0,"Phillips III, Mose SO",,21.0,"Reddish, Quentin FR",,9.0,"Fleming, Cameren RS FR",,,,,,,
RCB,44.0,"Strong, Dorian GR",,8.0,"Johnson, Braylon SO",,14.0,"Pennix, Jonathan RS FR",,,,,,,
ST,,,,,,,,,,,,,,,
PT,85.0,"Moore, Peter RS SR",,95.0,"Veltsistas, Nick RS JR",,,,,,,,,,
PK,17.0,"Love, John RS SO",,38.0,"Lowe, Kyle RS JR",,,,,,,,,,
KO,38.0,"Lowe, Kyle RS JR",,17.0,"Love, John RS SO",,,,,,,,,,
LS,94.0,"Kendall, Tate RS FR/TR",,96.0,"Epling, Christian RS SO",,47.0,"Armstrong, Griffin RS SR/TR",,,,,,,
H,85.0,"Moore, Peter RS SR",,95.0,"Veltsistas, Nick RS JR",,,,,,,,,,
PR,11.0,"Holloway, Tucker JR",,83.0,"Lane, Jaylin GR/TR",,,,,,,,,,
KR,33.0,"Tuten, Bhayshul SR/TR",,24.0,"Thomas, Malachi RS JR",,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Wake Forest Demon Deacons,,,,,,,,,,,,,,,
WR-X,5.0,"Fields, Horatio RS JR",,4.0,"Merrill, Walker SR/TR",,84.0,"Ragano, Nick RS JR",,,,,,,
WR-Z,11.0,"Greene, Donavon RS SR",,18.0,"Mays Jr., Micah RS FR",,87.0,"Girard, Jaydn RS SO",,,,,,,
WR-SL,2.0,"Morin, Taylor RS SR",,81.0,"Alexander, Deuce RS FR",,,,,,,,,,
LT,62.0,"Gordon, DeVonte RS SR",,71.0,"Trost, Keagan RS SR/TR",,,,,,,,,,
LG,54.0,"Gulbin, Matt RS JR",,75.0,"Johnson II, Derrell RS SO",,,,,,,,,,
C,74.0,"Petitbon, Luke RS JR",,65.0,"Lucas, Hank RS SO",,,,,,,,,,
RG,70.0,"Sharpe, Nick RS JR",,77.0,"Sell, George RS JR",,,,,,,,,,
RT,72.0,"Russell, Erik RS JR",,73.0,"Vaughan, Zach RS JR",,76.0,"Collins, Jaydon RS JR",,,,,,,
TE,20.0,"Hite, Cameron RS SR",,17.0,"Frogge, Michael RS JR",,44.0,"Dupont, Ryan RS JR",,,,,,,
QB,9.0,"Bachmeier, Hank RS SR/TR",,15.0,"Kern, Michael RS SR",,10.0,"Gilliam, Charlie RS FR",,,,,,,
RB,1.0,"Claiborne, Demond JR",,30.0,"Carney, Tate RS SO",,28.0,"Egbe, David SO",,,,,,,
DEF,,,,,,,,,,,,,,,
LDE,30.0,"Davis, Jasheen SR",,99.0,"Ibirogba, Mateen JR/TR",,46.0,"Lee, Kerrington RS FR",,,,,,,
LDT,91.0,"Pointer, Kevin RS SR/TR",,98.0,"Crespi, Wyatt RS JR",,95.0,"Marable Jr., Chris RS FR",,,,,,,
RDT,55.0,"Ganious, Bryce SR/TR",,94.0,"Lohavichan, Zach RS JR",,,,,,,,,,
RDE,5.0,"Wayman, Kendron SR",,18.0,"Williams, BJ RS JR",,,,,,,,,,
BUCK,21.0,"Combs, Branson RS SR/TR",,39.0,"Hall, Aiden SO",,,,,,,,,,
MLB,24.0,"Hazen, Dylan RS JR",,9.0,"Bryant, Quincy RS JR",,,,,,,,,,
LCB,25.0,"Glasker, Jamare RS SO",,0.0,"Rankin, Demarcus SR/TR",,,,,,,,,,
SS,13.0,"Patterson, Davaughn RS FR",,6.0,"Tongue, Rushaun RS FR",,,,,,,,,,
FS,45.0,"Andersen, Nick RS JR",,35.0,"Turpin, Myles FR",,,,,,,,,,
RCB,3.0,"Blue, Capone RS SR/TR",,27.0,"West, Travon RS FR",,,,,,,,,,
NB,7.0,"Slocum, Evan SR",,23.0,"Robinson Jr., Antonio RS FR",,,,,,,,,,
ST,,,,,,,,,,,,,,,
PT,36.0,"Mora, Ivan RS SR",,98.0,"Black, Tyler SO",,,,,,,,,,
PK,99.0,"Dennis, Matthew RS JR",,97.0,"Carlson, Caleb RS SO",,83.0,"Morgan, Ben RS SO",,,,,,,
KO,98.0,"Black, Tyler SO",,97.0,"Carlson, Caleb RS SO",,83.0,"Morgan, Ben RS SO",,,,,,,
LS,32.0,"Cobb, Will RS JR",,,,,,,,,,,,,
H,36.0,"Mora, Ivan RS SR",,98.0,"Black, Tyler SO",,,,,,,,,,
PR,2.0,"Morin, Taylor RS SR",,,,,,,,,,,,,
KR,1.0,"Claiborne, Demond JR",,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Illinois Fighting Illini,,,,,,,,,,,,,,,
WR-X,4.0,"Franklin, Zakhari RS SR/TR",,8.0,"Elzy, Malik SO",,15.0,"Capka-Jones, Alexander RS JR/TR",,19.0,"Rooks, Tyson RS SO",,,,
WR-Z,13.0,"Bryant, Pat SR",,2.0,"Hollins, Ashton RS SO",,17.0,"Dixon, Collin RS FR",,81.0,"Orr-Gillespie, Carlos FR",,,,
WR-SL,7.0,"Wilcher, Kenari SO",,80.0,"Beatty, Hank JR",,1.0,"Sanders II, Mario SO/TR",,83.0,"Griffin, Tysean FR",,,,
LT,74.0,"Davis, J.C. SR/TR",,75.0,"Henderson, Brandon SO",,70.0,"Aamland, Zach RS FR",,,,,,,
LG,73.0,"Gesky, Josh RS JR",,78.0,"Wigenton II, Kevin RS JR/TR",,,,,,,,,,
C,64.0,"Kreutz, Josh RS JR",,55.0,"McMillen, TJ RS FR",,,,,,,,,,
RG,72.0,"Crisler, Zy SR/TR",,63.0,"Schuster, Dezmond RS JR/TR",,,,,,,,,,
RT,58.0,"Priestly, Melvin JR/TR",,71.0,"Whitenack, Hunter JR",,56.0,"Møller, Magnus RS SO",,,,,,,
TE,85.0,"Arkin, Tanner RS JR/TR",,88.0,"Boyer, Henry RS SO",,84.0,"Goda, Carson SR/TR",,82.0,"Guinn, Nate RS FR",,89.0,"Hollinger, Tanner FR",
QB,9.0,"Altmyer, Luke RS JR/TR",,10.0,"Leary, Donovan RS SO",,12.0,"Michaux, Kirkland RS JR/TR",,16.0,"Swanson, Cal RS FR",,0.0,"Petty, Trey FR",
RB,3.0,"Feagin, Kaden SO",,6.0,"McCray, Josh RS JR",,21.0,"Laughery, Aidan RS SO",,23.0,"Anderson, Jordan RS SO",,5.0,"Valentine, Ca'Lil FR",
DEF,,,,,,,,,,,,,,,
DE,11.0,"Bray, Alex SO",,33.0,"Holmes, Ezekiel RS SR",,55.0,"Warren, Jeremiah RS FR",,,,,,,
NT,23.0,"Edwards, TeRah RS SR/TR",,27.0,"Sledge, Enyce RS SO/TR",,44.0,"McCullom, Angelo FR",,78.0,"Tuerk, Eddie FR",,,,
DT,6.0,"Briggs Jr., Dennis RS SR/TR",,92.0,"Hunt, Gentle SR/TR",,52.0,"Farrell, Pat RS FR",,,,,,,
LOLB,17.0,"Jacas, Gabe JR",,3.0,"Bryant, Alec RS JR/TR",,43.0,"Barna, Joe FR",,,,,,,
WLB,39.0,"Odeluga, Kenenna RS JR",,41.0,"Kreutz, James RS SO",,45.0,"Hood, Malachi RS SO",,,,,,,
MLB,28.0,"Rosiek, Dylan RS JR",,34.0,"Meed, Ryan RS SR",,29.0,"Griffin, TJ RS SO",,,,,,,
ROLB,9.0,"Coleman, Seth RS SR",,4.0,"Brown, Daniel JR/TR",,30.0,"Hayden, Jojo RS FR",,54.0,"John, Demetrius FR",,,,
LCB,8.0,"Brooks, Terrance JR/TR",,22.0,"Patterson, Kaleb RS SO/TR",,25.0,"Clarke, Jaheim SO",,,,,,,
SS,7.0,"Bailey, Matthew RS SO",,1.0,"Hill, Demetrius RS JR/TR",,16.0,"Heckel, Tanner FR",,,,,,,
FS,10.0,"Scott, Miles RS JR",,26.0,"Resetich, Mac SO",,2.0,"Karriem, Saboor SO",,,,,,,
RCB,14.0,"Scott, Xavier JR",,5.0,"Cox Jr., Torrie RS JR/TR",,,,,,,,,,
NB,20.0,"Strain, Tyler RS JR",,0.0,"Canada, Chase SO/TR",,,,,,,,,,
ST,,,,,,,,,,,,,,,
PT,19.0,"Robertson, Hugh RS JR",,31.0,"Duley, Declan RS FR",,98.0,"Pinton, Fabrizio RS JR/TR",,,,,,,
PK,24.0,"Olano, David SO",,27.0,"Moczulski, Ethan RS SO/TR",,98.0,"Pinton, Fabrizio RS JR/TR",,,,,,,
KO,24.0,"Olano, David SO",,27.0,"Moczulski, Ethan RS SO/TR",,98.0,"Pinton, Fabrizio RS JR/TR",,,,,,,
LS,36.0,"Hansen, Lane RS JR",,51.0,"Hall, Aidan RS SR",,52.0,"Mahoney III, Patrick RS FR",,,,,,,
H,19.0,"Robertson, Hugh RS JR",,31.0,"Duley, Declan RS FR",,98.0,"Pinton, Fabrizio RS JR/TR",,,,,,,
PR,80.0,"Beatty, Hank JR",,26.0,"Resetich, Mac SO",,4.0,"Franklin, Zakhari RS SR/TR",,,,,,,
KR,7.0,"Wilcher, Kenari SO",,21.0,"Laughery, Aidan RS SO",,13.0,"Bryant, Pat SR",,6.0,"McCray, Josh RS JR",,,,
Reserves,,,,,,,,,,,,,,,
RES,,,,,,,,,,,,,,,
INJ,14.0,"Rusk, Cole RS JR/TR",,18.0,"Muragin, Mason RS FR",,65.0,"Francis, Kellen SO/TR",,47.0,"Baker, Easton FR",,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Indiana Hoosiers,,,,,,,,,,,,,,,
WR-X,13.0,"Sarratt, Elijah JR/TR",,7.0,"Williams Jr., E.J. SR/TR",,89.0,"Jordan, Camden RS JR/TR",,,,,,,
WR-Z,1.0,"McCulley, Donaven SR",,3.0,"Cooper Jr., Omar RS SO",,0.0,"Coby, Andison SR/TR",,,,,,,
WR-SL,4.0,"Price, Myles SR/TR",,19.0,"Cross, Miles SR/TR",,5.0,"Williams, Ke'Shawn SR/TR",,,,,,,
LT,65.0,"Smith, Carter RS SO",,78.0,"Jones, Cooper RS JR",,,,,,,,,,
LG,62.0,"Evans, Drew RS SO/TR",,53.0,"Fiacable, Vince RS JR",,,,,,,,,,
C,56.0,"Katic, Mike RS SR",,54.0,"Greer, Jack RS SO",,,,,,,,,,
RG,74.0,"Lynch, Bray RS SO",,77.0,"Stephens, Tyler RS SR/TR",,79.0,"Williams, Max RS SO",,,,,,,
RT,75.0,"Wedig, Trey RS SR/TR",,73.0,"Barrett, Austin RS FR",,,,,,,,,,
TE,44.0,"Horton, Zach SR/TR",,48.0,"Bomba, James RS JR/TR",,45.0,"Walker, Trey RS SR",,86.0,"Foley, Brody RS SO",,88.0,"West, Sam RS FR",
QB,9.0,"Rourke, Kurtis RS SR/TR",,2.0,"Jackson, Tayven RS SO/TR",,15.0,"Cherry, Tyler FR",,12.0,"Purcell, Roman RS JR/TR",,16.0,"Mendoza, Alberto FR",
RB,6.0,"Ellison, Justice SR/TR",,8.0,"Black, Kaelon RS JR/TR",,17.0,"Lawton, Ty Son RS SR/TR",,21.0,"Green, Elijah RS JR/TR",,18.0,"Vanhorse, Solomon GR/TR",
DEF,,,,,,,,,,,,,,,
DE,6.0,"Kamara, Mikail SR/TR",,55.0,"Sneed Jr., Venson RS SO",,58.0,"Cannon, Aden RS SO",,,,,,,
NT,8.0,"West, CJ SR/TR",,95.0,"Tucker, Tyrique RS SO/TR",,93.0,"Harrison, Robby RS SO/TR",,,,,,,
DT,99.0,"Carpenter, James RS SR/TR",,92.0,"Burris Jr., Marcus RS JR/TR",,64.0,"Stewart, Race RS JR",,90.0,"Monette, J'mari RS SO",,,,
STUD,41.0,"Carr Jr., Lanell SR/TR",,7.0,"Mangum-Farrar, Jacob GR/TR",,49.0,"Collins, Ta'Derius RS FR",,,,,,,
MLB,4.0,"Fisher, Aiden JR/TR",,46.0,"Jones, Isaiah RS SO",,14.0,"Turner, Kaiden RS SO",,40.0,"Clark, Quentin FR",,,,
WLB,2.0,"Walker, Jailin SR/TR",,33.0,"Logan, Nahji SR/TR",,26.0,"Rudolph, Joshua SR/TR",,,,,,,
ROVER,25.0,"Ferrell, Amare SO",,12.0,"Jones Jr., Terry RS SR/TR",,,,,,,,,,
LCB,5.0,"Ponds, D'Angelo SO/TR",,9.0,"Johnson, Jamier RS JR/TR",,20.0,"Henderson, Dontrae FR",,,,,,,
SS,10.0,"Warnell Jr., DJ SR/TR",,19.0,"Sanguinetti, Josh RS SR",,17.0,"McDaniel, Tyrik RS SR/TR",,,,,,,
